Trace Length,Noise Percentage,Alphabet,Constraints,Grounding Time,Fast-Downward Costs,Fast-Downward Preprocessing,Fast-Downward Searching,Fast-Downward Steps,Symba Costs,Symba Preprocessing,Symba Searching,Symba Steps
20,20%,8,5,155733,13.15,0.14261210000000002,0.0220773,30.6,0.0,0.0,0.0,0.0
20,20%,8,5,86151,0.0,0.0,0.0,0.0,13.15,0.16850000000000007,0.11849999999999998,30.6
20,20%,8,7,100357,0.0,0.0,0.0,0.0,14.55,0.18150000000000002,0.15750000000000003,30.5
20,20%,8,7,182285,14.55,0.1463044,0.05983204999999999,30.5,0.0,0.0,0.0,0.0
20,30%,8,1,33728,0.0,0.0,0.0,0.0,16.0,0.16550000000000004,0.10000000000000002,36.0
20,30%,8,1,58018,16.0,0.13375355000000003,0.0162867,36.0,0.0,0.0,0.0,0.0
20,30%,8,3,159628,16.0,0.1437396,0.025037000000000004,35.1,0.0,0.0,0.0,0.0
20,30%,8,3,86804,0.0,0.0,0.0,0.0,16.0,0.17699999999999996,0.14499999999999996,35.1
20,30%,8,5,154488,15.05,0.14272045,0.023612750000000002,31.9,0.0,0.0,0.0,0.0
20,30%,8,5,85596,0.0,0.0,0.0,0.0,15.05,0.176,0.128,31.9
20,30%,8,7,100625,0.0,0.0,0.0,0.0,15.95,0.17950000000000002,0.16550000000000004,30.55
20,30%,8,7,181122,15.95,0.14577055,0.06354705000000001,30.4,0.0,0.0,0.0,0.0
30,0%,8,1,13383,14.25,0.13633030000000002,0.016129250000000005,42.75,0.0,0.0,0.0,0.0
30,0%,8,1,8005,0.0,0.0,0.0,0.0,15.0,0.16850000000000004,0.12150000000000001,45.0
30,0%,8,3,19267,0.0,0.0,0.0,0.0,15.0,0.18900000000000003,0.18600000000000003,46.0
30,0%,8,3,32272,15.0,0.14713824999999997,0.026945900000000002,46.0,0.0,0.0,0.0,0.0
30,0%,8,5,19645,0.0,0.0,0.0,0.0,15.0,0.19150000000000006,0.18450000000000003,46.0
30,0%,8,5,32749,15.0,0.14757174999999995,0.026542100000000002,46.0,0.0,0.0,0.0,0.0
30,0%,8,7,23571,0.0,0.0,0.0,0.0,15.85,0.16500000000000004,0.23750000000000004,45.15
30,0%,8,7,39615,15.85,0.151028,0.07569050000000002,45.15,0.0,0.0,0.0,0.0
30,10%,8,1,35531,0.0,0.0,0.0,0.0,18.0,0.17299999999999996,0.1325,48.0
30,10%,8,1,61306,17.55,0.13799064999999996,0.0190631,47.55,0.0,0.0,0.0,0.0
30,10%,8,3,155469,18.0,0.14722015000000002,0.0315678,46.3,0.0,0.0,0.0,0.0
30,10%,8,3,85633,0.0,0.0,0.0,0.0,18.0,0.19550000000000003,0.18350000000000002,46.3
30,10%,8,5,158975,17.3,0.1471505,0.029747049999999997,43.9,0.0,0.0,0.0,0.0
30,10%,8,5,85725,0.0,0.0,0.0,0.0,17.3,0.19050000000000003,0.18150000000000002,43.9
30,10%,8,7,101825,0.0,0.0,0.0,0.0,18.55,0.17600000000000005,0.23200000000000004,44.05
30,10%,8,7,186624,18.55,0.15137285000000003,0.09001745,44.2,0.0,0.0,0.0,0.0
30,20%,8,1,35053,0.0,0.0,0.0,0.0,21.0,0.178,0.14900000000000002,51.0
30,20%,8,1,62038,21.0,0.1367855,0.02072185,51.0,0.0,0.0,0.0,0.0
30,20%,8,3,136083,21.0,0.14766459999999998,0.034438399999999994,49.3,0.0,0.0,0.0,0.0
30,20%,8,3,85560,0.0,0.0,0.0,0.0,21.0,0.16249999999999998,0.20750000000000002,49.3
30,20%,8,5,157626,20.15,0.14710259999999997,0.0319863,45.15,0.0,0.0,0.0,0.0
30,20%,8,5,85575,0.0,0.0,0.0,0.0,20.15,0.17950000000000005,0.195,45.15
30,20%,8,7,101326,0.0,0.0,0.0,0.0,21.1,0.17450000000000004,0.23850000000000002,43.4
30,20%,8,7,183310,21.1,0.15081150000000001,0.09630405000000002,43.55,0.0,0.0,0.0,0.0
30,30%,8,1,35112,0.0,0.0,0.0,0.0,24.0,0.14750000000000002,0.1615,54.0
30,30%,8,1,61795,24.0,0.1371186,0.0220971,54.0,0.0,0.0,0.0,0.0
30,30%,8,3,151510,24.0,0.14807599999999999,0.037462149999999986,52.3,0.0,0.0,0.0,0.0
30,30%,8,3,86163,0.0,0.0,0.0,0.0,24.0,0.16850000000000004,0.22850000000000006,52.3
30,30%,8,5,156622,23.0,0.1477055,0.034338999999999995,47.15,0.0,0.0,0.0,0.0
30,30%,8,5,85916,0.0,0.0,0.0,0.0,23.0,0.16899999999999998,0.21100000000000002,47.15
30,30%,8,7,100127,0.0,0.0,0.0,0.0,23.6,0.168,0.25199999999999995,44.3
30,30%,8,7,181681,23.6,0.15013259999999998,0.10249085,44.3,0.0,0.0,0.0,0.0
